ean,name,category,regulation,description
5712249127893,Weight Loss Treatment - Wegovy 2.4mg STEP 5,Weight Management,P,"Weight Loss Treatment - Wegovy 2.4mg STEP 5. Prescription-only medicine, supplied after an online consultation with our pharmacist. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 2.4mg."
0634158637711,Endo Complex 90 Capsules,Vitamins,No regulation,Endo Complex 90 Capsules. A vitamins and supplements product. Supplied as 90 Capsules.
0033984026766,Solgar Super Starflower Oil 1300mg 60 Softgels,Vitamins,No regulation,Solgar Super Starflower Oil 1300mg 60 Softgels. A vitamins and supplements product. Supplied as 60 Softgels.
5017978000272,Probio 7 Kidskalm 28 Sachets,Vitamins,No regulation,Probio 7 Kidskalm 28 Sachets. A vitamins and supplements product. Supplied as 28 Sachets.
0753950004085,Doctor's Best High Absorption Magnesium Powder 200g,Vitamins,No regulation,Doctor's Best High Absorption Magnesium Powder 200g. A vitamins and supplements product. Supplied as 200g.
5031013108709,Higher Nature Super Potency Fish Oil 90 Capsules,Vitamins,No regulation,Higher Nature Super Potency Fish Oil 90 Capsules. A vitamins and supplements product. Supplied as 90 Capsules.
5031013102387,Higher Nature Supergest 90 Capsules,Vitamins,No regulation,Higher Nature Supergest 90 Capsules. A vitamins and supplements product. Supplied as 90 Capsules.
5407007650323,Bambaw Metal Safety Razor Black,Men's Grooming,No regulation,Bambaw Metal Safety Razor Black. A men's grooming product.
0033984027718,Solgar Ultimate B+C Complex 60 Tablets,Vitamins,No regulation,Solgar Ultimate B+C Complex 60 Tablets. A vitamins and supplements product. Supplied as 60 Tablets.
5000223495558,Proshield Plus Skin Protectant 115g,Skincare,No regulation,Proshield Plus Skin Protectant 115g. A skincare product. Supplied as 115g.
5038580003789,Yankee Candle Fluffy Towels Large Jar 623g,Beauty,No regulation,Yankee Candle Fluffy Towels Large Jar 623g. A health and beauty product. Supplied as 623g.
0078522021230,Jason Invigorating Rosewater Body Wash 887ml,Beauty,No regulation,Jason Invigorating Rosewater Body Wash 887ml. A health and beauty product. Supplied as 887ml.
4006000100272,Eucerin Urea Repair 5% Urea Gentle Shower Gel 400ml,Beauty,No regulation,Eucerin Urea Repair 5% Urea Gentle Shower Gel 400ml. A health and beauty product. Supplied as 400ml.
5055148400477,Lamberts Pure Fish Oil 1100mg (Epa 360mg/Dha 240mg) 60 Capsules,Vitamins,No regulation,Lamberts Pure Fish Oil 1100mg (Epa 360mg/Dha 240mg) 60 Capsules. A vitamins and supplements product. Supplied as 60 Capsules.
0033984000407,Solgar Alfalfa 600mg 100 Tablets,Vitamins,No regulation,Solgar Alfalfa 600mg 100 Tablets. A vitamins and supplements product. Supplied as 100 Tablets.
3614224084141,Lancaster Sun Sensitive Delicate Softening Body Milk SPF30 125ml,Skincare,No regulation,Lancaster Sun Sensitive Delicate Softening Body Milk SPF30 125ml. A skincare product. Supplied as 125ml.
7643022211424,Shea Moisture Raw Shea Butter Moisture Shampoo 379ml,Hair Care,No regulation,Shea Moisture Raw Shea Butter Moisture Shampoo 379ml. A hair care product. Supplied as 379ml.
5010605402449,SanatoGEN A-Z Complete Multivitamin,Vitamins,No regulation,SanatoGEN A-Z Complete Multivitamin. A vitamins and supplements product.
5060391847924,Dr. Organic Coconut & Orange Shampoo & Conditioner Bar 75g,Hair Care,No regulation,Dr. Organic Coconut & Orange Shampoo & Conditioner Bar 75g. A hair care product. Supplied as 75g.
3282770074062,Klorane Chamomile Conditioner 200ml,Hair Care,No regulation,Klorane Chamomile Conditioner 200ml. A hair care product. Supplied as 200ml.
5025135120954,"Malibu 3 Pack SPF20 Dry Oil, SPF50 Dry Oil & Aloe After Sun",Skincare,No regulation,"Malibu 3 Pack SPF20 Dry Oil, SPF50 Dry Oil & Aloe After Sun. A skincare product. Supplied as 3 Pack."
5023652960909,Nature's Aid MSM 1000mg 90 Tablets,Vitamins,No regulation,Nature's Aid MSM 1000mg 90 Tablets. A vitamins and supplements product. Supplied as 90 Tablets.
0074312002557,Nature's Bounty Vitamin D3 25µg (1000IU) 100 Tablets,Vitamins,No regulation,Nature's Bounty Vitamin D3 25µg (1000IU) 100 Tablets. A vitamins and supplements product. Supplied as 100 Tablets.
5056682200592,AquaSoothe 1% Menthol Aqueous Cream 100g,Skincare,No regulation,AquaSoothe 1% Menthol Aqueous Cream 100g. A skincare product. Supplied as 100g.
0672153908290,Woody's Activated Charcoal Soap 92g,Beauty,No regulation,Woody's Activated Charcoal Soap 92g. A health and beauty product. Supplied as 92g.
5014697010742,Witch Purifying Foaming Cleanser 150ml,Skincare,No regulation,Witch Purifying Foaming Cleanser 150ml. A skincare product. Supplied as 150ml.
5011831097034,Mates Ultimate 3 in 1 Condoms 14 Pack,Sexual Wellness,No regulation,"Mates Ultimate 3 in 1 Condoms 14 Pack. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 14 Pack."
5016379400001,4head Stick 3.6g,General Health,GSL,4head Stick 3.6g. A health and wellbeing product. Supplied as 3.6g.
4005900895417,Nivea Double Effect Eye Make-Up Remover 125ml,Beauty,No regulation,Nivea Double Effect Eye Make-Up Remover 125ml. A health and beauty product. Supplied as 125ml.
