Treatment area (e.g. Weight Management / Men's Health – ED / Women's Health – HRT),Treatment name,Dose / strength,Supply length,Price (£),Active ingredient (optional),MHRA licence no. (optional)
EXAMPLE — Weight Management,Mounjaro,2.5mg,4-week,149.00,Tirzepatide,
EXAMPLE — Weight Management,Mounjaro,5mg,4-week,179.00,Tirzepatide,
EXAMPLE — Men's Health – ED,Sildenafil,50mg,8 tablets,,Sildenafil citrate,
EXAMPLE — Men's Health – Hair Loss,Finasteride,1mg,1-month,,Finasteride,
EXAMPLE — Women's Health – HRT,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
